Title,TempId,body
Content of voice call-1/ Kannada,1707164622215439107,ನಿಮ್ಮ ಮಾತುಗಳು ಸ್ಪಷ್ಟವಾಗಿಲ್ಲ. ದಯವಿಟ್ಟು ಇನಾಚೆ ಸಂಖ್ಯೆಗೆ {#var#} ಮತ್ತೊಮ್ಮೆ ಕರೆ ಮಾಡಿ ಮತ್ತು ಬೀಪ್ ಧ್ವನಿಯ ನಂತರ ನಿಮ್ಮ ಸಮಸ್ಯೆಗಳನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ಹಂಚಿಕೊಳ್ಳಿ. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
Content of voice call-2/ Hindi,1707164622122028543,आपके वॉइस कॉल संदेश में आपकी समस्या के बारे में आवश्यक जानकारी का अभाव है। कृपया फिर से ईनाचे नंबर {#var#} पर कॉल करें और पूरी जानकारी दें।ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
Content of voice call-2/ Kannada,1707164622223958201,ನಿಮ್ಮ ಕರೆ/ಸಂದೇಶದಲ್ಲಿ ನಿಮ್ಮ ಸಮಸ್ಯೆಯ ಕುರಿತು ಅಗತ್ಯವಿರುವ ಮಾಹಿತಿಯ ಕೊರತೆಯಿದೆ. ದಯವಿಟ್ಟು ಇನಾಚೆ ಸಂಖ್ಯೆಗೆ {#var#} ಮತ್ತೊಮ್ಮೆ ಕರೆ ಮಾಡಿ. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
Content of SMS/ Hindi,1707164622124919014,आपके SMS में आपकी समस्या से संबंधित उचित जानकारी का अभाव है। कृपया इसे पुनः भेजें और पूरी जानकारी दें। ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
Content of SMS/ Kannada,1707164622227595036,ನಿಮ್ಮ {#var#} ಸಂದೇಶ/ಕರೆಯಲ್ಲಿ ನಿಮ್ಮ ಸಮಸ್ಯೆಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ಸರಿಯಾದ ಮಾಹಿತಿ ಇಲ್ಲ. ದಯವಿಟ್ಟು ಅದನ್ನು ಮರುಕಳುಹಿಸಿ. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
POSH case 1/ Kannada,1707164622230368792,ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ನಮಗೆ ತಿಳಿಸಿದ್ದಕ್ಕಾಗಿ ತುಂಬಾ ಧನ್ಯವಾದಗಳು. ನಿಮಗೆ ಸಹಾಯ ಮಾಡಲು ನಾವು ಇಲ್ಲಿದ್ದೇವೆ. ನಿಮ್ಮ ಗುರುತನ್ನು ಬಹಿರಂಗಪಡಿಸಲಾಗುವುದಿಲ್ಲ. ದಯವಿಟ್ಟು ICC ಪ್ರತಿನಿಧಿಯನ್ನು {#var#} ಭೇಟಿ ಮಾಡಿ ಮತ್ತು ದೂರು ಸಲ್ಲಿಸಿ. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
POSH case 1/ Hindi,1707164622129437457,इस मुद्दे के बारे में हमें सूचित करने के लिए आपका धन्यवाद। हम आपकी सहायता करना चाहते हैं। आपकी पहचान गुप्त रखी जाएगी। कृपया ICC प्रतिनिधि {#var#} से मिलें और इस मामले के समाधान के लिए लिखित रूप में शिकायत दर्ज करें । ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
POSH case 2/ English,1707164621452148826,Thank you for informing us about this issue. This is a serious allegation. Kindly meet the ICC Rep. {#var#} and file a written complaint for redressal. You can also call on ICC Rep. phone number {#var#} and explain the problem in detail. We assure you that your identity will not be revealed anywhere and we will extent full support to you.Thank you for using Inache Service. Shahi Management
POSH case 2/ Hindi,1707164622132273599,इस मुद्दे के बारे में हमें सूचित करने के लिए आपका धन्यवाद। यह एक गंभीर आरोप है। कृपया ICC प्रतिनिधि {#var#} से मिलें और इस मामले के समाधान के लिए लिखित रूप में शिकायत दर्ज करें । आप ICC प्रतिनिधि के फ़ोन नंबर {#var#} पर भी कॉल कर सकते हैं और समस्या के बारे में विस्तार से बता सकते हैं। हम आपको विश्वास दिलाते हैं कि आपकी पहचान कहीं भी प्रकट नहीं की जाएगी और हम आपको पूर्ण समर्थन देंगे। ईनाचे सेवा का उपयोग करने के लिए धन्यवाद Shahi प्रबंधन
POSH case 2/ Kannada,1707164622233449731,ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ನಮಗೆ ತಿಳಿಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. ಇದೊಂದು ಗಂಭೀರ ಆರೋಪ. ದಯವಿಟ್ಟು ICC ಪ್ರತಿನಿಧಿ{#var#} ಅವರನ್ನು ಭೇಟಿ ಮಾಡಿ. ಪರಿಹಾರಕ್ಕಾಗಿ ಲಿಖಿತ ದೂರು ಸಲ್ಲಿಸಿ. ನಿಮ್ಮ ಕಾರ್ಖಾನೆಯು ICC ಪ್ರತಿನಿಧಿ ಫೋನ್ ಸಂಖ್ಯೆಗೆ {#var#} ಕರೆ ಮಾಡಬಹುದು ಮತ್ತು ಸಮಸ್ಯೆಯನ್ನು ವಿವರವಾಗಿ ವಿವರಿಸಬಹುದು. ನಿಮ್ಮ ಗುರುತನ್ನು ಎಲ್ಲಿಯೂ ಬಹಿರಂಗಪಡಿಸಲಾಗುವುದಿಲ್ಲ ಎಂದು ನಾವು ನಿಮಗೆ ಭರವಸೆ ನೀಡುತ್ತೇವೆ ಮತ್ತು ಸಂಪೂರ್ಣ ಬೆಂಬಲವನ್ನು ನೀಡುತ್ತೇವೆ. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
POSH case Follow-up/ English,1707164621518666050,We hope that you have shared the information by contacting the ICC representative {#var#}. We are there to support you. For any future problem or suggestion you can contact on Inache number {#var#}. Shahi Management
POSH case Follow-up/ Hindi,1707164622134773930,हम आशा करतें है कि आपने ICC प्रतिनिधि {#var#}से संपर्क करके उनसे जानकारी साझा कर ली होगी। हम आपकी सहायता करना चाहते हैं। भविष्य में किसी भी समस्या या सुझाव के लिए आप ईनाचे नंबर {#var#} पर संपर्क कर सकती हैं। Shahi प्रबंधन
POSH case Follow-up/ Kannada,1707164622245288531,ICC ಪ್ರತಿನಿಧಿ {#var#} ಅವರನ್ನು ಸಂಪರ್ಕಿಸುವ ಮೂಲಕ ನೀವು ಮಾಹಿತಿಯನ್ನು ಹಂಚಿಕೊಂಡಿರುವಿರಿ ಎಂದು ನಾವು ಭಾವಿಸುತ್ತೇವೆ. ನಿಮ್ಮನ್ನು ಬೆಂಬಲಿಸಲು ನಾವಿದ್ದೇವೆ. ಯಾವುದೇ ಹೆಚ್ಚಿನ ಸಮಸ್ಯೆ ಅಥವಾ ಸಲಹೆಗಾಗಿ ನೀವು ಇನಾಚೆ ಸಂಖ್ಯೆ {#var#} ಅನ್ನು ಸಂಪರ್ಕಿಸಬಹುದು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
Miscellaneous Case-1/ Hindi,1707164622138672769,ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। आपका केस नंबर {#var#} बंद कर दिया गया है। कृपया इस संदेश का जवाब ना दें। Shahi प्रबंधन
Miscellaneous Case-1/ Kannada,1707164622263982366,ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. ನಿಮ್ಮ ಕೇಸ್ ಸಂಖ್ಯೆ {#var#} ಅನ್ನು ಮುಕ್ತಾಯಗೊಳಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ಈ ಸಂದೇಶಕ್ಕೆ ಪ್ರತಿಕ್ರಿಯಿಸಬೇಡಿ. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
Miscellaneous Case-2/ Hindi,1707164622141826607,हमें 2 कार्य दिनों के भीतर आपकी तरफ से कोई प्रतिक्रिया नहीं मिली है। इसलिए आपका केस नंबर {#var#} बंद कर दिया गया है। कृपया इस संदेश का जवाब ना दें। ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
Miscellaneous Case-2/ Kannada,1707164622266571335,"ನಿಮ್ಮಿಂದ ಎರಡು ಕೆಲಸದ ದಿನಗಳಲ್ಲಿ ಯಾವುದೇ ಪ್ರತಿಕ್ರಿಯೆಯನ್ನು ನಮಗೆ ಕಳುಹಿಸಿಲ್ಲ. ಆದ್ದರಿಂದ, ನಿಮ್ಮ ಪ್ರಕರಣ ಸಂಖ್ಯೆ {#var#} ಅನ್ನು ಮುಕ್ತಾಯಗೊಳಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ಈ ಸಂದೇಶಕ್ಕೆ ಪ್ರತಿಕ್ರಿಯಿಸಬೇಡಿ. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್"
Acknowledgement of Complaint/ Hindi,1707164622146276709,आपका केस {#var#} विभाग को प्राप्त हो गया है। इसका जल्द से जल्द समाधान किया जाएगा। यदि हमें और किसी जानकारी की आवश्यकता होती है तो आपसे शीघ्र ही संपर्क किया जाएगा। ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
Acknowledgement of Complaint/ Kannada,1707164622269574109,"ನಿಮ್ಮ ಸಮಸ್ಯೆಯನ್ನು {#var#} ಕಾರ್ಖಾನೆಯಲ್ಲಿ ಸ್ವೀಕರಿಸಲಾಗಿದೆ. ನಾವು ಅದನ್ನು ಸಾಧ್ಯವಾದಷ್ಟು ಬೇಗ ಪರಿಹರಿಸುತ್ತೇವೆ. ನಮಗೆ ಏನಾದರೂ ಹೆಚ್ಚಿನ ವಿವರಗಳ ಅಗತ್ಯವಿದ್ದರೆ, ಶೀಘ್ರದಲ್ಲೇ ನಿಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸಲಾಗುವುದು. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್"
Acknowledgement of Query/ Hindi,1707164622149749742,आपका केस {#var#} विभाग को प्राप्त हो गया है। इसका जल्द से जल्द समाधान किया जाएगा। यदि हमें और किसी जानकारी की आवश्यकता होती है तो आपसे शीघ्र ही संपर्क किया जाएगा। ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
Acknowledgement of Suggestion/ Hindi,1707164622152845150,{#var#} पर सुझाव साझा करने के लिए आपका बहुत-बहुत धन्यवाद। हम संबंधित {#var#} के साथ इस पर चर्चा करेंगे और आपको बहुत जल्द ही सूचित करेंगे।ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
Acknowledgement of Suggestion/ Kannada,1707164622278201133,{#var#} ನಲ್ಲಿ ನಿಮ್ಮ ಅಮೂಲ್ಯವಾದ ಸಲಹೆಯನ್ನು ಹಂಚಿಕೊಂಡಿದ್ದಕ್ಕಾಗಿ ತುಂಬಾ ಧನ್ಯವಾದಗಳು. ನಾವು ಇದನ್ನು ಆಯಾ {#var#} ಜೊತೆಗೆ ಚರ್ಚಿಸುತ್ತೇವೆ ಮತ್ತು ಶೀಘ್ರದಲ್ಲೇ ನಿಮಗೆ ತಿಳಿಸುತ್ತೇನೆ. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
Requirement/ Hindi,1707164622156994996,आपका केस {#var#} विभाग में प्राप्त हो गया है। आपको बेहतर समर्थन देने के लिए हमें आपके {#var#} की जल्द से जल्द आवश्यकता होगी। कृपया यह आवश्यक जानकारी ईनाचे नंबर {#var#} पर भेजें। ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
Requirement-1/ Hindi,1707164622159204171,हमें आपका केस प्राप्त हो गया है। कृपया हमें विस्तार से बताएं कि समस्या कहां हुई है और यह आपको कैसे प्रभावित कर रही है। ईनाचे नंबर {#var#} पर जवाब दें। ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
Resolution/ Hindi,1707164622161741295,{#var#} के बारे में आपके केस का समाधान कर दिया गया है। अगर आप संतुष्ट हैं तो कृपया YES भेजें और अगर आप समाधान से संतुष्ट नहीं हैं तो NO भेजें। कृपया इस संदेश का जवाब ना दें। कृपया अपना जवाब ईनाचे नंबर {#var#} पर भेजें।ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
Resolution/ Kannada,1707164622291718094,{#var#} ಕುರಿತು ನಿಮ್ಮ ಪ್ರಕರಣವನ್ನು ಪರಿಹರಿಸಲಾಗಿದೆ. ನೀವು ತೃಪ್ತರಾಗಿದ್ದರೆ ದಯವಿಟ್ಟು ಹೌದು ಅಥವಾ ನೀವು ತೃಪ್ತರಾಗದಿದ್ದರೆ ಇಲ್ಲ ಎಂದು ಉತ್ತರದೊಂದಿಗೆ ಕಳುಹಿಸಿ. ದಯವಿಟ್ಟು ನಿಮ್ಮ ಉತ್ತರವನ್ನು ಇನಾಚೆ ಸಂಖ್ಯೆಗೆ ಕಳುಹಿಸಿ. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
Go to department/ Kannada,1707164622295101136,"ನಿಮ್ಮ ಪ್ರಕರಣವನ್ನು ನಾವು ಸ್ವೀಕರಿಸಿದ್ದೇವೆ. ನಿಮ್ಮ ಪ್ರಕರಣವನ್ನು ಪರಿಹರಿಸಲು, ದಯವಿಟ್ಟು 2 ಕೆಲಸದ ದಿನಗಳಲ್ಲಿ {#var#} ವಿಭಾಗದಲ್ಲಿ {#var#} ಅನ್ನು ಭೇಟಿ ಮಾಡಿ. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್"
Go to department/ Hindi,1707164622164501989,हमें आपका केस प्राप्त हो गया है।। अपने मामले के समाधान के लिए कृपया आप {#var#} से {#var#} विभाग में 2 कार्य दिनों के अंदर मिले। ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
Lack of response/ Hindi,1707164622167225040,हमें 2 कार्य दिनों के भीतर आपकी और से कोई प्रतिक्रिया नहीं मिली। इसलिए आपका केस नंबर {#var#} बंद कर दिया गया है। कृपया इस संदेश का जवाब ना दें। ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
Lack of response/ Kannada,1707164622298728661,ನಿಮ್ಮ ಕಡೆಯಿಂದ ನಾವು ಯಾವುದೇ ಪ್ರತಿಕ್ರಿಯೆಯನ್ನು 2 ಕೆಲಸದ ದಿನಗಳಲ್ಲಿ ಸ್ವೀಕರಿಸಲಿಲ್ಲ. ಆದ್ದರಿಂದ ನಿಮ್ಮ ಕೇಸ್ ಸಂಖ್ಯೆ{#var#} ಅನ್ನು ಮುಕ್ತಾಯಗೊಳಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ಈ ಸಂದೇಶಕ್ಕೆ ಪ್ರತಿಕ್ರಿಯಿಸಬೇಡಿ. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
General case/ Hindi,1707164622170468348,इस मुद्दे के बारे में हमें सूचित करने के लिए आपका बहुत-बहुत धन्यवाद। {#var#}। हम जल्द से जल्द इस समस्या का समाधान करेंगे। ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
Special case/ Hindi,1707164622173143931,ईनाचे के माध्यम से हमें इस गंभीर मुद्दे के बारे में सूचित करने के लिए आपका बहुत-बहुत धन्यवाद। हम इस समस्या का जल्द से जल्द समाधान करेंगे। ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
Special case/ Kannada,1707164622335724710,ಈ ಗಂಭೀರ ಸಮಸ್ಯೆಯನ್ನು ಇನಾಚೆ ಮೂಲಕ ನಮಗೆ ತಿಳಿಸಿದ್ದಕ್ಕಾಗಿ ತುಂಬಾ ಧನ್ಯವಾದಗಳು. ಆದಷ್ಟು ಬೇಗ ನಾವು ಈ ಸಮಸ್ಯೆಯನ್ನು ಪರಿಹರಿಸುತ್ತೇವೆ. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
Closing the case/ Kannada,1707164622338276880,ಕೇಸ್ ಸಂಖ್ಯೆ {#var#} ನೊಂದಿಗೆ {#var#} ಕುರಿತು ನಿಮ್ಮ ಸಮಸ್ಯೆಯನ್ನು ಮುಕ್ತಾಯಗೊಳಿಸಲಾಗಿದೆ.ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. ದಯವಿಟ್ಟು ಈ ಸಂದೇಶಕ್ಕೆ ಪ್ರತಿಕ್ರಿಯಿಸಬೇಡಿ. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
Closing the case/ Hindi,1707164622175922322,आपके {#var#} के मुद्दे से जुड़ा केस नंबर {#var#} बंद कर दिया गया है।ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। कृपया इस संदेश का जवाब ना दें। Shahi प्रबंधन
Case registration acknowledgement/ Hindi,1707164622178353143,ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। आपका केस नंबर {#var#} है। कृपया इस संदेश का जवाब ना दें। ईनाचे नंबर {#var#} पर अपना जवाब भेजें। Shahi प्रबंधन
Acknowledgement of Query/ Kannada,1707164812010927618,{#var#} ಕುರಿತು ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಕೇಳಿದ್ದಕ್ಕಾಗಿ ತುಂಬಾ ಧನ್ಯವಾದಗಳು. ಇದನ್ನು {#var#} ವಿಭಾಗಕ್ಕೆ ನಿಯೋಜಿಸಲಾಗಿದೆ. ನಾವು ನಿಮಗೆ ಶೀಘ್ರದಲ್ಲೇ ತಿಳಿಸುತ್ತೇವೆ. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
Requirement/ Kannada,1707164812013964577,"ನಿಮ್ಮ ಪ್ರಕರಣವನ್ನು {#var#} ಕಾರ್ಖಾನೆಯಲ್ಲಿ ಸ್ವೀಕರಿಸಲಾಗಿದೆ. ನಿಮ್ಮನ್ನು ಉತ್ತಮವಾಗಿ ಬೆಂಬಲಿಸಲು, ನಮಗೆ ನಿಮ್ಮ {#var#} ಅಗತ್ಯವಿದೆ. ದಯವಿಟ್ಟು ಈ ಸಂದೇಶಕ್ಕೆ ಪ್ರತಿಕ್ರಿಯಿಸಬೇಡಿ. ಇನಾಚೆ ಸಂಖ್ಯೆಗೆ ಉತ್ತರಿಸಿ {#var#}. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್"
Requirement-1/ Kannada,1707164812016972288,ನಿಮ್ಮ ಪ್ರಕರಣವನ್ನು ನಾವು ಸ್ವೀಕರಿಸಿದ್ದೇವೆ. ಸಮಸ್ಯೆ ಎಲ್ಲಿ ಸಂಭವಿಸಿದೆ ಮತ್ತು ಅದು ಹೇಗೆ ಪರಿಣಾಮ ಬೀರಿದೆ ಎಂಬುದನ್ನು ದಯವಿಟ್ಟು ನೀವು ನಮಗೆ ವಿವರವಾಗಿ ತಿಳಿಸಿ. ದಯವಿಟ್ಟು ಈ ಸಂದೇಶಕ್ಕೆ ಪ್ರತಿಕ್ರಿಯಿಸಬೇಡಿ. ಇನಾಚೆ ಸಂಖ್ಯೆಗೆ {#var#} ಉತ್ತರಿಸಿ . ಇನಾಚೆ ಸೇವೆ ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
Case registration acknowledgement/ Kannada,1707164812019916378,"ನಿಮ್ಮ ಕೇಸ್ ಸಂಖ್ಯೆ {#var#}, ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. ದಯವಿಟ್ಟು ಈ ಸಂದೇಶಕ್ಕೆ ಪ್ರತಿಕ್ರಿಯಿಸಬೇಡಿ. ನಿಮ್ಮ ಉತ್ತರವನ್ನು ಇನಾಚೆ ಸಂಖ್ಯೆಗೆ {#var#} ಕಳುಹಿಸಿ. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್"
Benefit of government scheme/ Hindi,1707164812023037920,सरकार ने {#var#} समूह के लोगों के लिए {#var#} योजना शुरू की है। पात्र लाभार्थियों से अनुरोध है कि इस योजना का लाभ लेने के लिए {#var#} पर/में जाएं। Shahi प्रबंधन
